Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-11 09:30:00,157.97000122070312,159.00999450683594,157.8000030517578,158.77000427246094,158.77000427246094,317096
2023-12-11 10:00:00,158.8000030517578,159.0,158.55999755859375,158.85000610351562,158.85000610351562,33260
2023-12-11 10:30:00,158.83999633789062,159.38999938964844,158.74000549316406,159.2550048828125,159.2550048828125,28926
2023-12-11 11:00:00,159.06500244140625,159.13999938964844,158.7899932861328,159.0,159.0,28396
2023-12-11 11:30:00,158.94000244140625,158.97999572753906,158.5800018310547,158.82000732421875,158.82000732421875,28161
2023-12-11 12:00:00,158.7899932861328,158.7899932861328,158.25999450683594,158.2899932861328,158.2899932861328,31087
2023-12-11 12:30:00,158.2100067138672,158.41000366210938,158.1699981689453,158.3699951171875,158.3699951171875,31069
2023-12-11 13:00:00,158.3300018310547,158.42999267578125,158.21499633789062,158.4199981689453,158.4199981689453,33093
2023-12-11 13:30:00,158.4199981689453,158.57000732421875,158.0800018310547,158.11000061035156,158.11000061035156,27295
2023-12-11 14:00:00,158.07000732421875,158.13999938964844,157.90499877929688,158.0399932861328,158.0399932861328,43789
2023-12-11 14:30:00,158.10000610351562,158.2949981689453,158.00999450683594,158.0399932861328,158.0399932861328,29347
2023-12-11 15:00:00,158.02499389648438,158.05499267578125,157.82000732421875,157.85000610351562,157.85000610351562,41199
2023-12-11 15:30:00,157.80999755859375,157.98800659179688,157.6300048828125,157.72000122070312,157.72000122070312,231107
2023-12-12 09:30:00,158.13999938964844,159.74000549316406,157.67999267578125,159.1649932861328,159.1649932861328,285960
2023-12-12 10:00:00,159.22000122070312,159.50999450683594,158.91000366210938,159.27999877929688,159.27999877929688,59229
2023-12-12 10:30:00,159.24000549316406,159.82000732421875,159.13999938964844,159.77999877929688,159.77999877929688,49545
2023-12-12 11:00:00,159.7899932861328,160.07000732421875,159.7100067138672,159.9199981689453,159.9199981689453,50055
2023-12-12 11:30:00,160.00999450683594,160.2899932861328,159.94000244140625,160.09500122070312,160.09500122070312,43197
2023-12-12 12:00:00,160.10000610351562,161.17999267578125,160.10000610351562,161.02499389648438,161.02499389648438,45447
2023-12-12 12:30:00,161.01499938964844,161.33999633789062,160.75999450683594,160.8699951171875,160.8699951171875,41493
2023-12-12 13:00:00,160.80999755859375,161.5500030517578,160.75999450683594,161.5500030517578,161.5500030517578,48082
2023-12-12 13:30:00,161.58999633789062,161.83999633789062,161.5,161.77000427246094,161.77000427246094,49150
